n	individuo	poblacion	sitio	lon	lat	codigo	Temp_med_anual	Precip_anual	Rango_anual_temp	Estacionalidad_precip	Suelo_pH_05cm
1	SAM1    	pop1   	San José de la esquina	-61.711733	-33.13565	Sje	16.7666664123535	948	26.8999996185303	51.143180847168	68
2	SAM10 	pop3	Argentina	-62.26205	-29.538683	Arg	19.5125007629395	895	27	64.4153060913086	71
3	SAM100  	pop17	Cruz del eje	-64.800167	-30.700084	C	18.0083332061768	548	26.3999996185303	72.0698471069336	72
4	SAM101  	pop17	Cruz del eje	-64.800167	-30.700084	C	18.0083332061768	548	26.3999996185303	72.0698471069336	72
5	SAM102  	pop17	Cruz del eje	-64.800167	-30.700084	C	18.0083332061768	548	26.3999996185303	72.0698471069336	72
6	SAM103  	pop17	Cruz del eje	-64.800167	-30.700084	C	18.0083332061768	548	26.3999996185303	72.0698471069336	72
7	SAM104 	pop17	Cruz del eje	-64.800167	-30.700084	C	18.0083332061768	548	26.3999996185303	72.0698471069336	72
8	SAM105  	pop17	Cruz del eje	-64.800167	-30.700084	C	18.0083332061768	548	26.3999996185303	72.0698471069336	72
9	SAM106  	pop17	Cruz del eje	-64.800167	-30.700084	C	18.0083332061768	548	26.3999996185303	72.0698471069336	72
10	SAM107  	pop17	Cruz del eje	-64.800167	-30.700084	C	18.0083332061768	548	26.3999996185303	72.0698471069336	72
11	SAM108 	pop17	Cruz del eje	-64.800167	-30.700084	C	18.0083332061768	548	26.3999996185303	72.0698471069336	72
12	SAM109 	pop17	Cruz del eje	-64.800167	-30.700084	C	18.0083332061768	548	26.3999996185303	72.0698471069336	72
13	SAM11	pop4	3 esquinas	-65.155267	-31.20305	Sc	16.591667175293	626	26.6999988555908	63.1799507141113	71
14	SAM12 	pop4	3 esquinas	-65.155267	-31.20305	Sc	16.591667175293	626	26.6999988555908	63.1799507141113	71
15	SAM13	pop4	3 esquinas	-65.155267	-31.20305	Sc	16.591667175293	626	26.6999988555908	63.1799507141113	71
16	SAM14 	pop4	3 esquinas	-65.155267	-31.20305	Sc	16.591667175293	626	26.6999988555908	63.1799507141113	71
17	SAM15	pop4	3 esquinas	-65.155267	-31.20305	Sc	16.591667175293	626	26.6999988555908	63.1799507141113	71
18	SAM16 	pop5	El Rodeo	-63.864467	-30.177233	Rod	17.6916675567627	766	26.7999992370605	69.1538009643555	69
19	SAM166  	pop18	Ayui	-58.033555	-31.183535	Ayui	18.9500007629395	1339	24.7000007629395	28.3993034362793	58
20	SAM167  	pop18	Ayui	-58.033555	-31.183535	Ayui	18.9500007629395	1339	24.7000007629395	28.3993034362793	58
21	SAM168  	pop18	Ayui	-58.033555	-31.183535	Ayui	18.9500007629395	1339	24.7000007629395	28.3993034362793	58
22	SAM169 	pop18	Ayui	-58.033555	-31.183535	Ayui	18.9500007629395	1339	24.7000007629395	28.3993034362793	58
23	SAM17	pop5	El Rodeo	-63.864467	-30.177233	Rod	17.6916675567627	766	26.7999992370605	69.1538009643555	69
24	SAM170  	pop19	El Carmen	-65.233608	-24.316879	elc	17.8083343505859	798	25	98.3099517822266	66
25	SAM171  	pop19	El Carmen	-65.233608	-24.316879	elc	17.8083343505859	798	25	98.3099517822266	66
26	SAM172  	pop19	El Carmen	-65.233608	-24.316879	elc	17.8083343505859	798	25	98.3099517822266	66
27	SAM173 	pop19	El Carmen	-65.233608	-24.316879	elc	17.8083343505859	798	25	98.3099517822266	66
28	SAM174  	pop19	El Carmen	-65.233608	-24.316879	elc	17.8083343505859	798	25	98.3099517822266	66
29	SAM175  	pop19	El Carmen	-65.233608	-24.316879	elc	17.8083343505859	798	25	98.3099517822266	66
30	SAM176  	pop19	El Carmen	-65.233608	-24.316879	elc	17.8083343505859	798	25	98.3099517822266	66
31	SAM177  	pop19	El Carmen	-65.233608	-24.316879	elc	17.8083343505859	798	25	98.3099517822266	66
32	SAM178  	pop20	El Talar	-65.300165	-28.083341	tal	19.8583335876465	711	29.3000011444092	79.8725051879883	66
33	SAM179  	pop20	El Talar	-65.300165	-28.083341	tal	19.8583335876465	711	29.3000011444092	79.8725051879883	66
34	SAM18 	pop5	El Rodeo	-63.864467	-30.177233	Rod	17.6916675567627	766	26.7999992370605	69.1538009643555	69
35	SAM180  	pop20	El Talar	-65.300165	-28.083341	tal	19.8583335876465	711	29.3000011444092	79.8725051879883	66
36	SAM181 	pop20	El Talar	-65.300165	-28.083341	tal	19.8583335876465	711	29.3000011444092	79.8725051879883	66
37	SAM182  	pop20	El Talar	-65.300165	-28.083341	tal	19.8583335876465	711	29.3000011444092	79.8725051879883	66
38	SAM183 	pop20	El Talar	-65.300165	-28.083341	tal	19.8583335876465	711	29.3000011444092	79.8725051879883	66
39	SAM184 	pop20	El Talar	-65.300165	-28.083341	tal	19.8583335876465	711	29.3000011444092	79.8725051879883	66
40	SAM185 	pop20	El Talar	-65.300165	-28.083341	tal	19.8583335876465	711	29.3000011444092	79.8725051879883	66
41	SAM186  	pop20	El Talar	-65.300165	-28.083341	tal	19.8583335876465	711	29.3000011444092	79.8725051879883	66
42	SAM187  	pop20	El Talar	-65.300165	-28.083341	tal	19.8583335876465	711	29.3000011444092	79.8725051879883	66
43	SAM188 	pop20	El Talar	-65.300165	-28.083341	tal	19.8583335876465	711	29.3000011444092	79.8725051879883	66
44	SAM189  	pop20	El Talar	-65.300165	-28.083341	tal	19.8583335876465	711	29.3000011444092	79.8725051879883	66
45	SAM19	pop5	El Rodeo	-63.864467	-30.177233	Rod	17.6916675567627	766	26.7999992370605	69.1538009643555	69
46	SAM192 	pop21	San Isidro	-65.100081	-32.133593	s	17.7541675567627	735	27.7000007629395	52.4319114685059	69
47	SAM193  	pop21	San Isidro	-64.100081	-31.133593	s	17.7541675567627	735	27.7000007629395	52.4319114685059	69
48	SAM194	pop21	San Isidro	-63.100081	-30.133593	s	17.7541675567627	735	27.7000007629395	52.4319114685059	69
49	SAM195	pop21	San Isidro	-62.100081	-29.133593	s	17.7541675567627	735	27.7000007629395	52.4319114685059	69
50	SAM196	pop21	San Isidro	-61.100081	-28.133593	s	17.7541675567627	735	27.7000007629395	52.4319114685059	69
51	SAM197	pop21	San Isidro	-60.100081	-27.133593	s	17.7541675567627	735	27.7000007629395	52.4319114685059	69
52	SAM198	pop21	San Isidro	-59.100081	-26.133593	s	17.7541675567627	735	27.7000007629395	52.4319114685059	69
53	SAM199	pop21	San Isidro	-58.100081	-25.133593	s	17.7541675567627	735	27.7000007629395	52.4319114685059	69
54	SAM2 	pop1   	San José de la esquina	-61.711733	-33.13565	Sje	16.7666664123535	948	26.8999996185303	51.143180847168	68
55	SAM20	pop5	El Rodeo	-63.864467	-30.177233	Rod	17.6916675567627	766	26.7999992370605	69.1538009643555	69
56	SAM200	pop21	San Isidro	-57.100081	-24.133593	s	17.7541675567627	735	27.7000007629395	52.4319114685059	69
57	SAM201	pop21	San Isidro	-56.100081	-23.133593	s	17.7541675567627	735	27.7000007629395	52.4319114685059	69
58	SAM202	pop21	San Isidro	-55.100081	-22.133593	s	17.7541675567627	735	27.7000007629395	52.4319114685059	69
59	SAM204	pop22	Quilino	-64.466924	-30.216849	qui	18.970832824707	544	26.6000003814697	73.9580307006836	72
60	SAM205	pop22	Quilino	-64.466924	-30.216849	qui	18.970832824707	544	26.6000003814697	73.9580307006836	72
61	SAM206	pop22	Quilino	-64.466924	-30.216849	qui	18.970832824707	544	26.6000003814697	73.9580307006836	72
62	SAM207	pop22	Quilino	-64.466924	-30.216849	qui	18.970832824707	544	26.6000003814697	73.9580307006836	72
63	SAM208	pop22	Quilino	-64.466924	-30.216849	qui	18.970832824707	544	26.6000003814697	73.9580307006836	72
64	SAM209	pop22	Quilino	-64.466924	-30.216849	qui	18.970832824707	544	26.6000003814697	73.9580307006836	72
65	SAM21	pop5	El Rodeo	-63.864467	-30.177233	Rod	17.6916675567627	766	26.7999992370605	69.1538009643555	69
66	SAM210	pop22	Quilino	-64.466924	-30.216849	qui	18.970832824707	544	26.6000003814697	73.9580307006836	72
67	SAM211	pop22	Quilino	-64.466924	-30.216849	qui	18.970832824707	544	26.6000003814697	73.9580307006836	72
68	SAM212	pop22	Quilino	-64.466924	-30.216849	qui	18.970832824707	544	26.6000003814697	73.9580307006836	72
69	SAM213	pop22	Quilino	-64.466924	-30.216849	qui	18.970832824707	544	26.6000003814697	73.9580307006836	72
